transaction_id,wallet_id,tx_hash,direction,asset_symbol,amount,usd_value_at_tx,fee_native,status,submitted_at,confirmed_at,updated_at
16,2,0x2005eaccff794512ac9226c8c5d708460443f584e3e84f18aa81c572,send,ETH,0.03090431,98.89,0.00579213,confirmed,2026-03-01T14:26:23+00:00,2026-03-01T14:27:43+00:00,2026-03-01T14:27:43+00:00
17,2,0x5c243f72e5944ba3a4236ea6417e5817d9026466b6b14bb5a5c17c34,receive,USDC,0.10212358,0.1,0.00026722,confirmed,2026-05-14T07:07:29+00:00,2026-05-14T07:14:31+00:00,2026-05-14T07:14:31+00:00
18,2,0x0b6895d673ec4cc987bf06d1ab14b0db1f77c4885c9b4a3eb9d76a34,swap,ETH,0.48258246,1544.26,0.00589752,failed,2026-04-01T20:00:12+00:00,,2026-04-01T20:00:12+00:00
19,2,0xbe11fa30b0fe4ab3b4b3a2946c61f570d98f38031e5749c986039174,swap,ETH,0.01362903,43.61,0.0009564,confirmed,2026-03-15T01:53:47+00:00,2026-03-15T02:02:26+00:00,2026-03-15T02:02:26+00:00
20,2,,swap,USDC,0.02985209,0.03,0.00397083,pending,2026-08-03T20:45:04+00:00,,2026-08-03T20:45:04+00:00
21,2,0x8d9481723f694be4a2be6895c13df3257b9e66f6bcaa447f8624b89f,send,USDC,0.60505393,0.61,0.0001498,confirmed,2026-06-09T10:42:44+00:00,2026-06-09T10:47:54+00:00,2026-06-09T10:47:54+00:00
22,3,0x6bd20992cd104152bf9fd6ab02a11f6bbd6c98f615e547bdb69ed569,send,ARB,0.55222176,0.5,0.0022858,confirmed,2026-03-20T00:04:13+00:00,2026-03-20T00:07:53+00:00,2026-03-20T00:07:53+00:00
23,3,0xc4fff86423bd494e9ce698838085d65d801b2950bbda4535b46345bd,send,ETH,0.52504613,1680.15,0.00852874,confirmed,2026-05-24T02:21:16+00:00,2026-05-24T02:23:18+00:00,2026-05-24T02:23:18+00:00
24,3,0x2db51557883e4ae69a4473e704b465748c46860598154f1e9164a9f9,send,ETH,0.06265182,200.49,0.00205443,failed,2026-08-13T01:56:01+00:00,,2026-08-13T01:56:01+00:00
25,3,0x55c83cd321344940b6d6631a6d7bbc3c1c31a296bb9b4d89922ba5b5,receive,ETH,0.29164983,933.28,0.00623321,confirmed,2026-08-23T03:34:27+00:00,2026-08-23T03:40:37+00:00,2026-08-23T03:40:37+00:00
26,3,0x3e070ce6b294492dbe92cef59e41aa1904bc6031b93f4c6ab88de4ae,swap,ARB,0.02401013,0.02,0.00588328,confirmed,2026-05-01T02:10:04+00:00,2026-05-01T02:18:26+00:00,2026-05-01T02:18:26+00:00
27,3,0x080a0ec70a334cacba78c23904193508eef2598c43e3474fa45da02a,receive,ETH,0.0034401,11.01,0.00283913,confirmed,2026-07-06T11:57:20+00:00,2026-07-06T12:04:43+00:00,2026-07-06T12:04:43+00:00
28,3,0x40c7bcc859744f29928f4e7aab0dcf9eba08b14a2a3b4ddb9527d882,receive,ARB,0.11093843,0.1,0.00492102,confirmed,2026-07-04T13:16:58+00:00,2026-07-04T13:22:42+00:00,2026-07-04T13:22:42+00:00
29,3,0x9be90234389f42c18b52edf16fa57218e54aee8e463e4890af3dc73c,swap,ARB,0.56616291,0.51,0.00204468,confirmed,2026-03-29T05:01:27+00:00,2026-03-29T05:02:55+00:00,2026-03-29T05:02:55+00:00
30,3,0x2237784da5904312a58fa88c4d457634ca49732f31dc4754b81cdba6,swap,ETH,1.72869208,5531.81,0.00220633,confirmed,2026-03-16T15:18:41+00:00,2026-03-16T15:19:05+00:00,2026-03-16T15:19:05+00:00
31,3,0x2c88d21cc5904ee5a2cb4e1829f43b6799f9dad7e3924e7880aa535f,receive,ARB,0.08841056,0.08,0.00398573,failed,2026-03-01T04:17:31+00:00,,2026-03-01T04:17:31+00:00
32,4,0x022009d0542c4943b474d535d3c25f5daef010c54192470fa59e83ef,receive,USDT,0.13590997,0.14,0.00507146,confirmed,2026-07-31T15:38:46+00:00,2026-07-31T15:41:08+00:00,2026-07-31T15:41:08+00:00
33,4,0x5321e1965dcc4236ad8e0ff494063f06443e8561109c428a82859352,swap,BNB,0.10809002,62.69,0.00662819,confirmed,2026-08-14T20:12:47+00:00,2026-08-14T20:15:41+00:00,2026-08-14T20:15:41+00:00
34,4,,send,USDT,0.03873062,0.04,0.0005238,pending,2026-05-06T13:14:40+00:00,,2026-05-06T13:14:40+00:00
35,4,0x417d43a55d3f4804a213a994e57a01e0b09ce9982ed7471e9d1dc26e,send,USDT,0.00125976,0.0,0.00049506,failed,2026-05-18T07:32:40+00:00,,2026-05-18T07:32:40+00:00
36,4,0x49da1ee8c2084d809923f7073f4cc8a38a4dd165f1524065bca2981c,swap,USDT,0.64380777,0.64,0.00574459,confirmed,2026-08-12T02:15:06+00:00,2026-08-12T02:16:56+00:00,2026-08-12T02:16:56+00:00
37,4,,send,USDT,2.60098427,2.6,0.00521496,pending,2026-06-20T07:16:05+00:00,,2026-06-20T07:16:05+00:00
38,4,0x555b1f043f0b4925bc96a72b35cad84945e7403545464e09975e64b3,receive,USDT,0.00298102,0.0,0.00794731,confirmed,2026-06-20T05:43:36+00:00,2026-06-20T05:52:29+00:00,2026-06-20T05:52:29+00:00
39,4,0x6c5da9aea9164837be9596dbed9bef3e6832e32aae1f4bbd9ab130ff,swap,BNB,0.10353939,60.05,0.00647042,confirmed,2026-08-03T11:44:05+00:00,2026-08-03T11:52:43+00:00,2026-08-03T11:52:43+00:00
40,4,0xdba25c904f4a460bafdb0a828381458fd7225c21363c47ffa2f9e604,send,BNB,0.02542099,14.74,0.00664499,confirmed,2026-05-19T05:38:55+00:00,2026-05-19T05:42:11+00:00,2026-05-19T05:42:11+00:00
41,4,0x39e45d9a3f23401b910ea470be5efd87868571ccc64649ed90961a89,swap,USDT,0.42913816,0.43,0.00169634,confirmed,2026-06-27T16:08:50+00:00,2026-06-27T16:10:51+00:00,2026-06-27T16:10:51+00:00
42,4,0xf7c86442c09c46fd9aac929d1aa5dd1246d6861bd6e04e8b9350a02c,send,BNB,0.00590503,3.42,0.00633245,confirmed,2026-06-26T22:50:11+00:00,2026-06-26T22:54:25+00:00,2026-06-26T22:54:25+00:00
43,4,0x43a86da7e3a8454e8b9089c5a53afe74dfd57017ab1f454a96efea13,send,BNB,0.01734918,10.06,0.00521474,failed,2026-04-15T18:33:00+00:00,,2026-04-15T18:33:00+00:00
44,4,0x234fcf12764a48868679fe0cb296f6de00c317537f394ecda4a47d7e,receive,BNB,0.0114327,6.63,0.00868629,failed,2026-06-25T21:28:15+00:00,,2026-06-25T21:28:15+00:00
45,4,0x906e634ac49341f7b91e26af9b02d0f60c62e840603f438695b5eff4,receive,BNB,0.00547862,3.18,0.00176044,confirmed,2026-05-11T06:48:22+00:00,2026-05-11T06:55:27+00:00,2026-05-11T06:55:27+00:00
46,4,0xe84f5787dba0484a885cfbf1425cbebbe072e78abf824d8db3fa53cb,send,BNB,0.02994213,17.37,0.00026397,confirmed,2026-08-19T06:59:38+00:00,2026-08-19T07:07:27+00:00,2026-08-19T07:07:27+00:00
47,4,0xda99b99d76174f5a87e8b71eacfc3e22da51db7495c94529aadfe5dc,send,USDT,2.31601232,2.32,0.0048111,failed,2026-07-18T15:55:08+00:00,,2026-07-18T15:55:08+00:00
48,4,0xdd08f2a8a9de44aa85e48aa7440c654b0ec6cac3b6734d739921b9b3,send,BNB,2.15126162,1247.73,0.00102258,failed,2026-08-05T12:50:29+00:00,,2026-08-05T12:50:29+00:00
49,4,0xc8ae7c3671904948bcd3c7706d562913a7c2213b28d6454a99973119,receive,BNB,0.39505734,229.13,0.00876076,confirmed,2026-08-14T04:53:59+00:00,2026-08-14T05:03:16+00:00,2026-08-14T05:03:16+00:00
50,4,0xa4c9c1c7449a496f962b85176d2c5e1e618b0df2a0124b2198a4e4c2,receive,USDT,0.00123741,0.0,0.00357013,failed,2026-08-21T15:09:31+00:00,,2026-08-21T15:09:31+00:00
51,4,0x6cb5e867266548248762866104cb92e9cdbf951dcb264e3c9dd342ca,send,BNB,0.09604557,55.71,0.00910985,failed,2026-08-30T03:03:14+00:00,,2026-08-30T03:03:14+00:00
52,4,0x03ffe31973bb4cba9ae144655cb4123f9e1a26a0d27444b6a5590551,receive,USDT,0.15898288,0.16,0.00658001,confirmed,2026-04-24T10:31:32+00:00,2026-04-24T10:40:53+00:00,2026-04-24T10:40:53+00:00
53,4,0xbfaf7e30e8724ba1beb840d1129695f3585da051cd5649008b613152,swap,USDT,0.01288203,0.01,0.00261096,confirmed,2026-08-19T17:07:58+00:00,2026-08-19T17:15:01+00:00,2026-08-19T17:15:01+00:00
54,4,,swap,USDT,0.08700057,0.09,0.00785951,pending,2026-07-21T06:20:14+00:00,,2026-07-21T06:20:14+00:00
55,4,0x0e75ec668c6046b793ddfe8b3bfa38b4c474b4ba9fb848399ecc93dd,receive,USDT,0.04001738,0.04,0.00776453,confirmed,2026-07-10T20:22:12+00:00,2026-07-10T20:28:36+00:00,2026-07-10T20:28:36+00:00
56,4,0x64cc0bd428474c0dbcf0994221696f43c5f971a08915454e8c497411,send,BNB,0.07357957,42.68,0.00109276,confirmed,2026-06-24T11:19:35+00:00,2026-06-24T11:21:41+00:00,2026-06-24T11:21:41+00:00
57,4,,swap,USDT,1.96283106,1.96,0.00709722,pending,2026-07-15T20:57:36+00:00,,2026-07-15T20:57:36+00:00
58,5,0x2fe2daa72c72402ca07d4357fb7d6d4e966a03bea6044a85a93c615e,send,ETH,0.10612207,339.59,0.0007344,confirmed,2026-08-10T11:24:26+00:00,2026-08-10T11:26:04+00:00,2026-08-10T11:26:04+00:00
59,5,0xecc3f81c44fe4ea49eab1f69d6afb4a455927cfd365e46b993e7dd1c,receive,ETH,0.05021341,160.68,0.0071449,confirmed,2026-05-22T01:31:54+00:00,2026-05-22T01:33:20+00:00,2026-05-22T01:33:20+00:00
60,6,,send,USDT,2.90744491,2.91,0.00043273,pending,2026-08-12T02:50:24+00:00,,2026-08-12T02:50:24+00:00
61,6,0x9465f2124ea4475d8645b090d638c286e74aff36af6c40dfa0256f60,receive,BNB,0.45494984,263.87,0.00246864,failed,2026-08-28T09:27:56+00:00,,2026-08-28T09:27:56+00:00
62,6,0x7ad8feda4ee9490697fdaae457db21922a0113b6a4e642a8820bb2c7,receive,USDT,0.5965479,0.6,0.00411396,confirmed,2026-08-03T14:58:08+00:00,2026-08-03T14:59:41+00:00,2026-08-03T14:59:41+00:00
63,6,0x3baf299115c54c7dbd117bcd4c149e21b5986befb1af464091ecdde5,send,BNB,0.32393684,187.88,0.00554097,failed,2026-08-13T08:00:46+00:00,,2026-08-13T08:00:46+00:00
64,6,0x038f249d832b4a30836b9652748d6c5c69d16e8922ac495883147638,send,USDT,0.00793351,0.01,0.006103,failed,2026-08-30T18:02:57+00:00,,2026-08-30T18:02:57+00:00
65,6,,receive,USDT,0.19163365,0.19,0.00511176,pending,2026-08-13T01:16:21+00:00,,2026-08-13T01:16:21+00:00
66,6,0x9006e284a435419381474294ea3cbad4510ed1acce5a4211a1b6eb2b,swap,USDT,0.07266847,0.07,0.00957142,confirmed,2026-08-30T17:29:11+00:00,2026-08-30T17:37:51+00:00,2026-08-30T17:37:51+00:00
67,6,0x17fcd51188214f7ca8a6eec98e968cd760e8712626ee40179ad65cab,receive,USDT,0.34721595,0.35,0.00961626,failed,2026-08-29T17:20:14+00:00,,2026-08-29T17:20:14+00:00
68,6,,receive,BNB,0.12451229,72.22,0.00637325,pending,2026-08-25T21:13:53+00:00,,2026-08-25T21:13:53+00:00
69,6,0xfef969071a7543d39f8eb29348f844704bca52c7f5184c7bb8f943ee,send,USDT,3.42808648,3.43,0.0070381,confirmed,2026-08-14T07:23:54+00:00,2026-08-14T07:29:22+00:00,2026-08-14T07:29:22+00:00
70,7,0x6c1f6a604de4499591348881a00a9ea1a4393c9cbdef41dfbebad751,swap,USDC,0.11950102,0.12,0.00276385,confirmed,2026-08-14T21:29:03+00:00,2026-08-14T21:35:56+00:00,2026-08-14T21:35:56+00:00
71,7,,receive,ETH,0.04075289,130.41,0.00214711,pending,2026-08-10T04:19:44+00:00,,2026-08-10T04:19:44+00:00
72,7,0x4b3b683f7fbf4644ae54d871f9d7531b44515c2ca85640b3a2d95659,send,ETH,0.40148326,1284.75,0.00679054,confirmed,2026-08-10T19:00:28+00:00,2026-08-10T19:06:37+00:00,2026-08-10T19:06:37+00:00
73,8,0x482f160314254d1fbdad0d48721fc5bbadc6a644c1d64b4a92516a63,receive,MATIC,0.90385527,0.54,0.00497417,failed,2026-01-16T09:44:22+00:00,,2026-01-16T09:44:22+00:00
74,8,0xa3d50682df5748faba62d69e5c568466f0d7c2aae0a24913bce1688e,swap,MATIC,0.05134637,0.03,0.00136963,confirmed,2026-08-24T22:54:40+00:00,2026-08-24T23:03:07+00:00,2026-08-24T23:03:07+00:00
75,8,,send,USDC,0.0031723,0.0,0.00462624,pending,2026-08-06T00:12:43+00:00,,2026-08-06T00:12:43+00:00
76,8,0x00c6d9605a254e0ea6bfec6439ffc5e65f3986d3f69b4f0a8cc19959,send,USDC,0.35437181,0.35,0.00332182,failed,2026-03-01T13:54:54+00:00,,2026-03-01T13:54:54+00:00
77,8,0xc127ea329f1f4283a5f933fbe634bc1f4c36f690d8b84dac9ef7e55c,swap,USDC,0.02457538,0.02,0.00349665,confirmed,2026-04-24T16:35:20+00:00,2026-04-24T16:44:46+00:00,2026-04-24T16:44:46+00:00
78,8,,receive,USDC,0.0049002,0.0,0.00371427,pending,2026-03-26T06:12:07+00:00,,2026-03-26T06:12:07+00:00
79,8,0xe7e5fd0dc3874b89bc198e290973965b5277c066d9164ea5ab4073d4,swap,MATIC,4.19878923,2.52,0.0027725,confirmed,2026-06-18T09:47:46+00:00,2026-06-18T09:55:32+00:00,2026-06-18T09:55:32+00:00
80,8,0xb63b0cce2b8446c0b8437267b43a69a6a69523c132c843c08b399f81,swap,USDC,0.61919235,0.62,0.00158053,failed,2026-04-15T09:51:57+00:00,,2026-04-15T09:51:57+00:00
81,8,0x231e023e0b60463599de8992e71435db40e25a057d53479ca670f28a,receive,USDC,0.35413605,0.35,0.0078748,confirmed,2026-01-17T14:48:26+00:00,2026-01-17T14:55:42+00:00,2026-01-17T14:55:42+00:00
82,8,0x689cbfaca6704fc0b94d5978123d6c18cade2f891341409981012f58,send,MATIC,0.04387312,0.03,0.00223313,confirmed,2026-05-10T08:31:25+00:00,2026-05-10T08:41:05+00:00,2026-05-10T08:41:05+00:00
83,8,,receive,MATIC,0.10449776,0.06,0.00366704,pending,2026-04-22T14:09:14+00:00,,2026-04-22T14:09:14+00:00
84,8,0x6bdedec60c5b41ff8d0e949fb19b2d9704579b979c394bba924cb366,swap,MATIC,0.08487659,0.05,0.00963485,confirmed,2026-08-18T08:11:59+00:00,2026-08-18T08:17:56+00:00,2026-08-18T08:17:56+00:00
85,8,0xd94da908021e45f98144e75fb2dd6c1f9be4c5d2e19c4f2883e6eec7,receive,MATIC,1.34864406,0.81,0.00676461,failed,2026-04-01T02:25:35+00:00,,2026-04-01T02:25:35+00:00
86,9,0xd07e177d9307431caeb420b5f1557014663b3e0799f8485d98b2c7ad,send,USDC,0.00770976,0.01,0.00644175,confirmed,2026-07-06T06:53:35+00:00,2026-07-06T07:00:10+00:00,2026-07-06T07:00:10+00:00
87,9,,receive,USDC,0.03011824,0.03,0.00656483,pending,2026-05-24T17:53:22+00:00,,2026-05-24T17:53:22+00:00
88,9,0x1c913013e1694e3588b2490a5dd07fb5c99d36e05f1f44dc9dee3298,receive,USDC,0.03291245,0.03,0.00750417,failed,2026-04-27T14:13:33+00:00,,2026-04-27T14:13:33+00:00
89,9,,receive,USDC,0.02520049,0.03,0.00941033,pending,2026-08-04T00:40:30+00:00,,2026-08-04T00:40:30+00:00
90,9,0xc768ba0664144a07bb22813bfde0d9c6a9783b39e5e14fddbd684fe2,send,USDC,2.40449588,2.4,0.00773224,confirmed,2026-02-13T19:27:35+00:00,2026-02-13T19:30:30+00:00,2026-02-13T19:30:30+00:00
91,9,0xfd421e9ffdca4947845b689cbbf2c093b08cd4b737f448f091742fc4,receive,USDC,0.21066732,0.21,0.00316277,confirmed,2026-08-05T05:04:33+00:00,2026-08-05T05:06:24+00:00,2026-08-05T05:06:24+00:00
92,9,0xa55babadab7b4e5f8323c2a76a9f665b820a893c02c546c0b657527d,receive,ETH,0.84562227,2705.99,0.00472522,confirmed,2026-04-19T19:06:18+00:00,2026-04-19T19:13:56+00:00,2026-04-19T19:13:56+00:00
93,9,0x51be1588a4ab44a7ac24fe32c5ffba3a9f45a4def4b24ffba6f68aad,receive,USDC,0.18814221,0.19,0.00634737,confirmed,2026-08-11T15:48:43+00:00,2026-08-11T15:58:09+00:00,2026-08-11T15:58:09+00:00
94,10,,send,USDT,2.02738658,2.03,0.00806661,pending,2026-08-22T03:10:08+00:00,,2026-08-22T03:10:08+00:00
95,10,0x5d5698d2194a4de482449766768a2cbcf7a424794a354e11936e7eaf,send,USDT,0.04144667,0.04,0.00528083,confirmed,2026-07-05T16:53:20+00:00,2026-07-05T16:59:39+00:00,2026-07-05T16:59:39+00:00
96,10,0xb68d31a09f8148d0ada2eb5fc31981dbac705b4e7985419383319906,receive,USDT,0.19902937,0.2,0.00947488,confirmed,2026-03-09T00:51:53+00:00,2026-03-09T00:56:51+00:00,2026-03-09T00:56:51+00:00
97,10,0xb2592d6783b0426c8f55328e85de95a247fe35208e4f4873a76f4676,send,USDT,1.71057881,1.71,0.0055273,confirmed,2026-07-19T09:02:23+00:00,2026-07-19T09:02:37+00:00,2026-07-19T09:02:37+00:00
98,10,,swap,USDT,0.08789834,0.09,0.00649531,pending,2026-03-29T08:03:41+00:00,,2026-03-29T08:03:41+00:00
99,10,0xc5b760884a2d41639cdf486da3585cd76c778bf5f6af4626a17de640,swap,BNB,0.09528798,55.27,0.00809499,confirmed,2026-06-11T01:00:18+00:00,2026-06-11T01:04:52+00:00,2026-06-11T01:04:52+00:00
100,10,0x2450c59e40b546a385acd8e8f31583168301f897c39a48c99c37fc93,send,USDT,0.01760529,0.02,0.00145258,confirmed,2026-04-30T16:25:08+00:00,2026-04-30T16:34:17+00:00,2026-04-30T16:34:17+00:00
101,10,,send,USDT,0.01703576,0.02,0.00327437,pending,2026-02-26T23:02:53+00:00,,2026-02-26T23:02:53+00:00
102,10,0x0c80b80392b44baf9cb4dbefc9da055147e3164fcc344e9ab48da04c,receive,BNB,0.04074887,23.63,0.00133789,confirmed,2026-03-15T04:35:12+00:00,2026-03-15T04:44:24+00:00,2026-03-15T04:44:24+00:00
103,10,0xada72b31d46f43149d865b21d769b71f8bb7e4fdb3d24e0eb705c26e,receive,BNB,0.0126936,7.36,0.00426041,confirmed,2026-07-04T08:47:30+00:00,2026-07-04T08:51:33+00:00,2026-07-04T08:51:33+00:00
104,10,0x822db29d98234d018573be3f8419c941acc467a5a61d487d8d39fe02,send,BNB,0.00327095,1.9,0.00065478,confirmed,2026-07-27T15:50:15+00:00,2026-07-27T15:58:14+00:00,2026-07-27T15:58:14+00:00
105,10,0xc60fb82855d6444ea4db647e94d72dbfed5d23b6e4cc49999d10a3bb,send,USDT,0.03382422,0.03,0.00130742,confirmed,2026-06-16T12:05:18+00:00,2026-06-16T12:14:39+00:00,2026-06-16T12:14:39+00:00
106,11,,send,USDT,0.00274059,0.0,0.00525928,pending,2026-04-22T07:04:59+00:00,,2026-04-22T07:04:59+00:00
107,11,,receive,USDT,0.33453847,0.33,0.00167025,pending,2026-04-06T13:27:14+00:00,,2026-04-06T13:27:14+00:00
108,11,0x6a61079553544db69219be768c3f9f31e0fcc11cf7e2490a81aafdec,receive,USDC,0.01111912,0.01,0.00206736,failed,2026-01-31T23:47:13+00:00,,2026-01-31T23:47:13+00:00
109,11,0xf5400cc22d6c4fc7b53b1096ad4e5d51fdcf772baf914b04835b8e91,send,ETH,0.2658284,850.65,0.00796446,confirmed,2026-02-04T20:04:35+00:00,2026-02-04T20:06:35+00:00,2026-02-04T20:06:35+00:00
110,11,0x9c03306c85c84079b156e4fa6c41f0c7013c4228cbec472897e99737,swap,ETH,0.86378087,2764.1,0.00163442,confirmed,2026-08-30T16:21:20+00:00,2026-08-30T16:28:10+00:00,2026-08-30T16:28:10+00:00
111,11,0x81f0c3bd6c5148898a468fdf6ca74a828c327f40b7ed4c1d8610643b,swap,USDT,0.00342668,0.0,0.00069452,confirmed,2026-02-19T08:35:56+00:00,2026-02-19T08:38:42+00:00,2026-02-19T08:38:42+00:00
112,11,0x91b1b7caf4214e9aad09b1b811930817780aad712720422d9d1c51d7,swap,ETH,0.02539779,81.27,0.00790676,confirmed,2026-06-02T16:15:02+00:00,2026-06-02T16:24:16+00:00,2026-06-02T16:24:16+00:00
113,11,,receive,USDC,0.00456182,0.0,0.00727155,pending,2026-05-30T11:49:18+00:00,,2026-05-30T11:49:18+00:00
114,11,0x0dff763d4220467c8db88b6e7bed8416d8af9ec013cd459ca8e88ace,swap,USDC,0.09985377,0.1,0.00495191,confirmed,2026-04-22T23:14:38+00:00,2026-04-22T23:22:59+00:00,2026-04-22T23:22:59+00:00
115,11,0x2515a747946e401795b76707833e9a5632bfe997094e4d5893f02683,swap,USDT,0.04336995,0.04,0.00915329,confirmed,2026-08-23T16:37:43+00:00,2026-08-23T16:47:04+00:00,2026-08-23T16:47:04+00:00
116,11,0x9365c7d749d94cf4b0088fffb0d282bc3a64378dd27f48588c521afb,receive,USDC,0.0252102,0.03,0.0054619,confirmed,2026-08-18T23:05:23+00:00,2026-08-18T23:06:38+00:00,2026-08-18T23:06:38+00:00
117,11,0x213fd18f8e504a48996c511e1aa66ff38921ba03fbb84fbaa795b399,swap,USDT,0.25820889,0.26,0.00246399,confirmed,2026-07-10T22:54:31+00:00,2026-07-10T23:03:14+00:00,2026-07-10T23:03:14+00:00
118,11,0x8738eaf341f1493aa2e040dbbc0d1c6c9126d8f0692e4235b04f62fc,swap,USDT,0.00470524,0.0,0.0016259,failed,2026-02-09T04:58:25+00:00,,2026-02-09T04:58:25+00:00
119,11,0x82379f8a07ac436d91ec27087993c7b676215251817744308928d500,swap,USDC,0.0688597,0.07,0.00076013,confirmed,2026-05-05T13:32:24+00:00,2026-05-05T13:39:28+00:00,2026-05-05T13:39:28+00:00
120,11,0xef172bc02b1e4a05a0ae4c62d1aa2faf9eed741eca1449d4ac134c8c,send,ETH,0.02553278,81.7,0.00575302,confirmed,2026-03-07T00:10:10+00:00,2026-03-07T00:10:47+00:00,2026-03-07T00:10:47+00:00
121,11,,send,USDC,0.38220432,0.38,0.0037269,pending,2026-06-15T12:35:21+00:00,,2026-06-15T12:35:21+00:00
122,11,0xf9825b117d9344b7b53ebdc624af15ecc53498bbd01e4946b86aa8bf,send,USDC,0.10356988,0.1,0.00473379,confirmed,2026-02-12T03:10:44+00:00,2026-02-12T03:14:22+00:00,2026-02-12T03:14:22+00:00
123,12,0xe9f22c856b974e13b14b350b134b54330d987d7251b9498b9fa759ea,receive,USDC,0.19686329,0.2,0.00087156,failed,2026-06-10T20:39:38+00:00,,2026-06-10T20:39:38+00:00
124,12,0x58251ca6ea1949738a359fea01df2c2a5eb5463579f34777a7bfd458,receive,ETH,0.02283959,73.09,0.00197566,failed,2026-05-13T16:47:25+00:00,,2026-05-13T16:47:25+00:00
125,12,0x0e25d4d6bf154148983cd75a8f972ca8b55fba8545b24d408883be16,swap,ETH,0.21302657,681.69,0.00114459,confirmed,2026-07-12T22:51:21+00:00,2026-07-12T23:01:09+00:00,2026-07-12T23:01:09+00:00
126,12,0x06c2e6eb292b41d8b8d9966e66d77e090549d5faa79b4caf8da9e5bc,receive,USDC,1.01283853,1.01,0.00883996,failed,2026-08-03T18:49:41+00:00,,2026-08-03T18:49:41+00:00
127,12,0xdbb1b2fcd7914e1883bee0ba67a9d4ce62bfc3bae27549ea91bb2d6c,swap,USDC,0.14185004,0.14,0.00998449,confirmed,2026-05-04T04:00:39+00:00,2026-05-04T04:10:07+00:00,2026-05-04T04:10:07+00:00
128,12,0xc922ce103a634160ace1cdcab0ef1e82e3ce09c7fae1458088e2eaa9,swap,USDC,1.01353375,1.01,0.00436282,confirmed,2026-06-26T19:12:34+00:00,2026-06-26T19:18:01+00:00,2026-06-26T19:18:01+00:00
